CityName,CityPopulation,CountryName,Continent,Region,LandMass,IndepYear,CountryPopulation,LifeExpectancy,GNP,GovernmentForm,HeadOfState,Capital,Language,Percentage
Huambo,163100,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luchazi,2.4
Lobito,130000,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luchazi,2.4
Benguela,128300,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luchazi,2.4
Namibe,118200,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luchazi,2.4
Luanda,2022000,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luimbe-nganguela,5.4
Huambo,163100,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luimbe-nganguela,5.4
Lobito,130000,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luimbe-nganguela,5.4
Benguela,128300,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luimbe-nganguela,5.4
Namibe,118200,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luimbe-nganguela,5.4
Luanda,2022000,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luvale,3.6
Huambo,163100,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luvale,3.6
Lobito,130000,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luvale,3.6
Benguela,128300,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luvale,3.6
Namibe,118200,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Luvale,3.6
Luanda,2022000,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Mbundu,21.6
Huambo,163100,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Mbundu,21.6
Lobito,130000,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Mbundu,21.6
Benguela,128300,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Mbundu,21.6
Namibe,118200,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Mbundu,21.6
Luanda,2022000,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Nyaneka-nkhumbi,5.4
Huambo,163100,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Nyaneka-nkhumbi,5.4
Lobito,130000,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Nyaneka-nkhumbi,5.4
Benguela,128300,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Nyaneka-nkhumbi,5.4
Namibe,118200,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Nyaneka-nkhumbi,5.4
Luanda,2022000,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Ovimbundu,37.2
Huambo,163100,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Ovimbundu,37.2
Lobito,130000,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Ovimbundu,37.2
Benguela,128300,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Ovimbundu,37.2
Namibe,118200,Angola,Africa,Central Africa,1246700,1975,12878000,38.3,6648,Republic,José Eduardo dos Santos,Luanda,Ovimbundu,37.2
South Hill,961,Anguilla,North America,Caribbean,96,NULL,8000,76.1,63.2,Dependent Territory of the UK,Elisabeth II,The Valley,English,0
The Valley,595,Anguilla,North America,Caribbean,96,NULL,8000,76.1,63.2,Dependent Territory of the UK,Elisabeth II,The Valley,English,0
Tirana,270000,Albania,Europe,Southern Europe,28748,1912,3401200,71.6,3205,Republic,Rexhep Mejdani,Tirana,Albaniana,97.9
Tirana,270000,Albania,Europe,Southern Europe,28748,1912,3401200,71.6,3205,Republic,Rexhep Mejdani,Tirana,Greek,1.8
Tirana,270000,Albania,Europe,Southern Europe,28748,1912,3401200,71.6,3205,Republic,Rexhep Mejdani,Tirana,Macedonian,0.1
Andorra la Vella,21189,Andorra,Europe,Southern Europe,468,1278,78000,83.5,1630,Parliamentary Coprincipality,,Andorra la Vella,Catalan,32.3
Andorra la Vella,21189,Andorra,Europe,Southern Europe,468,1278,78000,83.5,1630,Parliamentary Coprincipality,,Andorra la Vella,French,6.2
Andorra la Vella,21189,Andorra,Europe,Southern Europe,468,1278,78000,83.5,1630,Parliamentary Coprincipality,,Andorra la Vella,Portuguese,10.8
Andorra la Vella,21189,Andorra,Europe,Southern Europe,468,1278,78000,83.5,1630,Parliamentary Coprincipality,,Andorra la Vella,Spanish,44.6
Willemstad,2345,Netherlands Antilles,North America,Caribbean,800,NULL,217000,74.7,1941,Nonmetropolitan Territory of The Netherlands,Beatrix,Willemstad,Dutch,0
Willemstad,2345,Netherlands Antilles,North America,Caribbean,800,NULL,217000,74.7,1941,Nonmetropolitan Territory of The Netherlands,Beatrix,Willemstad,English,7.8
Willemstad,2345,Netherlands Antilles,North America,Caribbean,800,NULL,217000,74.7,1941,Nonmetropolitan Territory of The Netherlands,Beatrix,Willemstad,Papiamento,86.2
Dubai,669181,United Arab Emirates,Asia,Middle East,83600,1971,2441000,74.1,37966,Emirate Federation,Zayid bin Sultan al-Nahayan,Abu Dhabi,Arabic,42
Abu Dhabi,398695,United Arab Emirates,Asia,Middle East,83600,1971,2441000,74.1,37966,Emirate Federation,Zayid bin Sultan al-Nahayan,Abu Dhabi,Arabic,42
Sharja,320095,United Arab Emirates,Asia,Middle East,83600,1971,2441000,74.1,37966,Emirate Federation,Zayid bin Sultan al-Nahayan,Abu Dhabi,Arabic,42
al-Ayn,225970,United Arab Emirates,Asia,Middle East,83600,1971,2441000,74.1,37966,Emirate Federation,Zayid bin Sultan al-Nahayan,Abu Dhabi,Arabic,42
Ajman,114395,United Arab Emirates,Asia,Middle East,83600,1971,2441000,74.1,37966,Emirate Federation,Zayid bin Sultan al-Nahayan,Abu Dhabi,Arabic,42
Dubai,669181,United Arab Emirates,Asia,Middle East,83600,1971,2441000,74.1,37966,Emirate Federation,Zayid bin Sultan al-Nahayan,Abu Dhabi,Hindi,0
Abu Dhabi,398695,United Arab Emirates,Asia,Middle East,83600,1971,2441000,74.1,37966,Emirate Federation,Zayid bin Sultan al-Nahayan,Abu Dhabi,Hindi,0
Sharja,320095,United Arab Emirates,Asia,Middle East,83600,1971,2441000,74.1,37966,Emirate Federation,Zayid bin Sultan al-Nahayan,Abu Dhabi,Hindi,0
al-Ayn,225970,United Arab Emirates,Asia,Middle East,83600,1971,2441000,74.1,37966,Emirate Federation,Zayid bin Sultan al-Nahayan,Abu Dhabi,Hindi,0
Ajman,114395,United Arab Emirates,Asia,Middle East,83600,1971,2441000,74.1,37966,Emirate Federation,Zayid bin Sultan al-Nahayan,Abu Dhabi,Hindi,0
Buenos Aires,2982146,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
La Matanza,1266461,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Córdoba,1157507,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Rosario,907718,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Lomas de Zamora,622013,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Quilmes,559249,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Almirante Brown,538918,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
La Plata,521936,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Mar del Plata,512880,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
San Miguel de Tucumán,470809,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Lanús,469735,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Merlo,463846,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
General San Martín,422542,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Salta,367550,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Moreno,356993,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Santa Fé,353063,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Avellaneda,353046,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Tres de Febrero,352311,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Morón,349246,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Florencio Varela,315432,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
San Isidro,306341,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Tigre,296226,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Malvinas Argentinas,290335,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Vicente López,288341,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
